station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
ALT,01.04.1944 00:00,4.6,,10.4,0.5,0.2,,,,,,,,,,,,,,,,,,45.2,56,,,,,,
ALT,01.05.1944 00:00,6.6,,12.6,-1.4,-2.0,,,,,,,,,,,,,,,,,,60.3,51,,,,,,
ALT,01.06.1944 00:00,9.5,,14.8,-2.5,-2.5,,,,,,,,,,,,,,,,,,123.4,89,,,,,,
ALT,01.07.1944 00:00,12.2,,17.6,-1.3,-1.5,,,,,,,,,,,,,,,,,,122.7,87,,,,,,
ALT,01.08.1944 00:00,14.3,,20.3,1.8,0.9,,,,,,,,,,,,,,,,,,43.6,28,,,,,,
ALT,01.09.1944 00:00,8.6,,13.3,-1.4,-1.3,,,,,,,,,,,,,,,,,,105.7,100,,,,,,
ALT,01.10.1944 00:00,4.0,,8.4,-2.3,-2.3,,,,,,,,,,,,,,,,,,95.2,113,,,,,,
ALT,01.11.1944 00:00,-0.3,,3.5,-2.2,-2.1,,,,,,,,,,,,,,,,,,198.5,244,,,,,,
ALT,01.12.1944 00:00,-3.5,,0.3,-2.0,-2.2,,,,,,,,,,,,,,,,,,65.7,79,,,,,,
ALT,01.01.1945 00:00,-9.1,,-4.6,-6.2,-7.0,,,,,,,,,,,,,,,,,,36.4,52,,,,,,
ALT,01.02.1945 00:00,-0.8,,2.8,0.4,1.0,,,,,,,,,,,,,,,,,,101.5,171,,,,,,
ALT,01.03.1945 00:00,1.5,,5.8,-0.3,0.4,,,,,,,,,,,,,,,,,,144.2,200,,,,,,
ALT,01.04.1945 00:00,4.1,,9.8,-0.1,-0.3,,,,,,,,,,,,,,,,,,111.5,138,,,,,,
ALT,01.05.1945 00:00,9.0,,15.2,1.2,0.4,,,,,,,,,,,,,,,,,,91.6,78,,,,,,
ALT,01.06.1945 00:00,11.6,,17.8,0.5,-0.4,,,,,,,,,,,,,,,,,,127.2,92,,,,,,
