station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
SIO,01.05.1976 00:00,8.8,21.6,15.0,-0.3,-0.6,0.1,0.0,9.6,7.0,-0.7,0.0,0.0,28.0,959.0,1.9,0.3,0.0,51.1,,,2.0,0.0,12.6,24,,,16433.0,119.0,3.5,3.1
SIO,01.06.1976 00:00,12.2,27.3,19.6,0.6,-0.8,1.9,0.0,12.3,23.0,-0.8,0.0,0.0,31.9,961.6,5.7,1.7,11.0,0.0,,,5.0,0.0,24.5,51,,,19888.0,130.0,65.6,0.0
SIO,01.07.1976 00:00,13.7,27.0,19.7,-0.9,-0.8,-0.4,0.0,14.4,22.0,-0.2,0.0,0.0,33.0,959.6,8.6,-0.7,8.0,0.0,,,12.0,0.0,57.0,92,,,14172.0,87.0,63.3,0.0
SIO,01.08.1976 00:00,10.7,24.5,17.4,-2.5,-3.4,-2.1,0.0,12.5,17.0,-2.2,0.0,0.0,29.5,960.9,7.3,0.3,0.0,0.0,,,7.0,0.0,38.9,65,,,15053.0,100.0,10.3,0.0
SIO,01.09.1976 00:00,8.1,19.2,13.2,-2.5,-2.3,-2.9,0.0,11.1,0.0,-1.0,0.0,0.0,24.8,959.2,2.6,-1.6,0.0,95.0,,,7.0,0.0,37.3,99,,,10580.0,85.0,0.0,15.0
SIO,01.10.1976 00:00,6.2,16.7,10.6,-0.1,0.1,-0.2,2.0,9.9,0.0,0.4,0.0,0.0,23.1,953.1,-0.4,-7.8,0.0,231.9,,,7.0,0.0,46.9,110,,,6920.0,72.0,0.0,63.9
SIO,01.11.1976 00:00,0.6,8.9,3.4,-1.6,-0.5,-1.2,14.0,6.2,0.0,-0.5,0.0,0.0,15.6,960.5,-6.3,0.2,0.0,498.7,,,7.0,0.0,47.5,94,,,5990.0,105.0,0.0,258.7
SIO,01.12.1976 00:00,-4.0,2.2,-1.6,-2.5,-1.6,-2.9,25.0,4.5,0.0,-0.8,8.0,0.0,7.5,954.7,-11.9,-7.9,0.0,670.0,,,10.0,0.0,130.8,193,,,4048.0,99.0,0.0,422.0
SIO,01.01.1977 00:00,-2.0,3.8,0.3,-0.2,1.0,-1.2,24.0,4.7,0.0,-0.3,2.0,0.0,9.5,957.1,-7.5,-5.9,0.0,610.3,,,7.0,0.0,50.3,97,,,3441.0,61.0,0.0,362.3
SIO,01.02.1977 00:00,0.4,7.5,3.5,1.2,2.3,-0.1,9.0,5.5,0.0,0.4,0.0,0.0,13.3,955.8,-6.7,-5.7,0.0,461.0,,,11.0,0.0,112.1,277,,,4113.0,52.0,0.0,237.0
SIO,01.03.1977 00:00,3.7,14.0,8.0,0.8,1.8,0.5,3.0,6.2,0.0,0.2,0.0,0.0,21.6,962.1,-3.3,2.4,0.0,359.8,,,8.0,0.0,25.6,69,,,8981.0,80.0,0.0,127.8
SIO,01.04.1977 00:00,4.6,13.5,8.0,-3.3,-0.7,-4.1,2.0,7.2,0.0,-0.1,0.0,0.0,24.2,958.1,-0.8,0.9,0.0,322.2,,,14.0,0.0,98.9,293,,,8856.0,70.0,0.0,130.2
SIO,01.05.1977 00:00,8.1,18.8,13.0,-2.3,-1.3,-2.7,0.0,9.6,2.0,-0.7,0.0,0.0,27.3,956.9,1.5,-1.8,0.0,128.8,,,8.0,0.0,52.1,100,,,10749.0,78.0,0.7,32.8
SIO,01.06.1977 00:00,11.0,23.0,16.2,-2.8,-2.0,-2.4,0.0,11.9,8.0,-1.2,0.0,0.0,30.5,957.6,7.2,-2.3,1.0,0.0,,,11.0,0.0,43.1,89,,,12483.0,82.0,7.0,0.0
SIO,01.07.1977 00:00,13.1,24.7,18.5,-2.1,-1.4,-2.7,0.0,14.0,16.0,-0.6,0.0,0.0,29.6,957.7,7.4,-2.6,0.0,0.0,,,9.0,0.0,59.1,95,,,15143.0,93.0,36.8,0.0
SIO,01.08.1977 00:00,11.5,22.8,16.6,-3.3,-2.6,-3.8,0.0,13.2,8.0,-1.5,0.0,0.0,28.6,957.2,8.2,-3.4,0.0,0.0,,,8.0,0.0,34.4,58,,,13027.0,87.0,5.1,0.0
SIO,01.09.1977 00:00,7.8,19.8,13.7,-2.0,-2.6,-2.3,0.0,11.3,4.0,-0.8,0.0,0.0,26.6,964.1,1.3,3.3,0.0,112.6,,,4.0,0.0,10.5,28,,,13006.0,104.0,0.8,24.6
SIO,01.10.1977 00:00,5.5,16.7,10.4,-0.3,-0.6,-0.2,0.0,9.7,0.0,0.2,0.0,0.0,20.8,963.0,0.9,2.1,0.0,259.2,,,8.0,0.0,68.5,160,,,8244.0,86.0,0.0,59.2
SIO,01.11.1977 00:00,-0.4,8.5,3.3,-1.7,-1.5,-1.6,13.0,6.3,0.0,-0.4,0.0,0.0,17.8,958.6,-8.6,-1.7,0.0,502.7,,,7.0,0.0,75.4,150,,,6024.0,105.0,0.0,262.7
SIO,01.12.1977 00:00,-2.9,5.1,0.8,-0.1,-0.5,0.0,24.0,5.2,0.0,-0.1,1.0,0.0,12.8,964.0,-10.1,1.4,0.0,594.9,,,8.0,0.0,56.8,84,,,4199.0,102.0,0.0,346.9
SIO,01.01.1978 00:00,-2.3,3.6,-0.3,-0.8,0.7,-1.4,23.0,4.7,0.0,-0.3,1.0,0.0,8.4,956.7,-6.9,-6.3,0.0,628.4,,,7.0,0.0,66.3,128,,,3086.0,55.0,0.0,380.4
