reference_timestamp,ths200m0,th9120mv,rhs150m0,rh9120mv,shs000m0,sh9120mv
01.09.1918 00:00,13.6,-2.1,100.6,268,9826.0,79.0
01.10.1918 00:00,7.0,-3.7,25.2,59,8617.0,90.0
01.11.1918 00:00,3.3,-1.7,37.4,74,6538.0,114.0
01.12.1918 00:00,0.5,-0.4,210.6,311,3271.0,80.0
01.01.1919 00:00,-0.9,-1.4,36.3,70,5941.0,106.0
01.02.1919 00:00,0.0,-2.3,78.7,195,6269.0,80.0
01.03.1919 00:00,4.6,-2.6,68.1,185,8514.0,75.0
01.04.1919 00:00,6.1,-5.2,42.0,125,10575.0,84.0
01.05.1919 00:00,13.8,-1.5,19.1,37,17259.0,125.0
01.06.1919 00:00,17.0,-2.0,45.5,94,16144.0,106.0
01.07.1919 00:00,15.4,-5.2,32.9,53,14629.0,90.0
01.08.1919 00:00,19.8,-0.1,12.4,21,19809.0,132.0
01.09.1919 00:00,15.8,0.1,14.5,39,15321.0,123.0
01.10.1919 00:00,5.4,-5.3,25.6,60,7875.0,82.0
01.11.1919 00:00,1.4,-3.6,90.3,179,2614.0,46.0
01.12.1919 00:00,-0.2,-1.1,139.2,206,2657.0,65.0
01.01.1920 00:00,1.9,1.4,67.6,131,4504.0,80.0
01.02.1920 00:00,3.5,1.2,2.6,6,9555.0,122.0
01.03.1920 00:00,7.1,-0.1,41.0,111,10520.0,93.0
01.04.1920 00:00,9.8,-1.5,29.1,86,9493.0,75.0
01.05.1920 00:00,16.2,0.9,26.9,52,14239.0,104.0
01.06.1920 00:00,16.5,-2.5,43.6,90,14317.0,94.0
01.07.1920 00:00,18.7,-1.9,37.4,60,16947.0,104.0
01.08.1920 00:00,16.6,-3.3,35.5,60,16576.0,111.0
01.09.1920 00:00,14.3,-1.4,77.0,205,9832.0,79.0
01.10.1920 00:00,9.9,-0.8,2.6,6,6927.0,72.0
01.11.1920 00:00,4.7,-0.3,0.1,0,7042.0,123.0
01.12.1920 00:00,-1.3,-2.2,16.5,24,2897.0,71.0
01.01.1921 00:00,2.0,1.5,19.8,38,5298.0,94.0
01.02.1921 00:00,1.1,-1.2,8.5,21,9363.0,119.0
01.03.1921 00:00,6.8,-0.4,9.8,27,12739.0,113.0
01.04.1921 00:00,8.6,-2.7,14.4,43,11784.0,94.0
01.05.1921 00:00,15.1,-0.2,27.9,54,11951.0,87.0
01.06.1921 00:00,17.9,-1.1,19.0,39,17234.0,113.0
01.07.1921 00:00,21.1,0.5,8.0,13,19343.0,119.0
01.08.1921 00:00,18.0,-1.9,60.9,102,16037.0,107.0
01.09.1921 00:00,15.8,0.1,34.9,93,14712.0,118.0
01.10.1921 00:00,11.4,0.7,5.9,14,13718.0,143.0
01.11.1921 00:00,1.2,-3.8,22.2,44,7704.0,134.0
01.12.1921 00:00,-0.5,-1.4,11.9,18,3791.0,92.0
01.01.1922 00:00,-1.9,-2.4,130.1,251,3186.0,57.0
01.02.1922 00:00,1.1,-1.2,52.4,130,5430.0,69.0
01.03.1922 00:00,5.9,-1.3,41.2,112,7730.0,69.0
01.04.1922 00:00,6.3,-5.0,167.8,498,6164.0,49.0
01.05.1922 00:00,15.9,0.6,16.5,32,17621.0,128.0
01.06.1922 00:00,17.1,-1.9,47.0,98,14721.0,97.0
01.07.1922 00:00,16.7,-3.9,82.9,134,14884.0,91.0
01.08.1922 00:00,16.8,-3.1,85.8,144,15417.0,103.0
01.09.1922 00:00,11.3,-4.4,51.0,136,9336.0,75.0
01.10.1922 00:00,7.4,-3.3,43.8,102,5680.0,59.0
01.11.1922 00:00,1.0,-4.0,100.4,199,6447.0,112.0
01.12.1922 00:00,-1.5,-2.4,69.0,102,4290.0,105.0
01.01.1923 00:00,-3.4,-3.9,13.5,26,4685.0,84.0
01.02.1923 00:00,1.9,-0.4,48.9,121,3892.0,50.0
01.03.1923 00:00,5.6,-1.6,17.6,48,10313.0,91.0
01.04.1923 00:00,9.7,-1.6,15.7,47,9923.0,79.0
01.05.1923 00:00,13.3,-2.0,66.4,128,14843.0,108.0
01.06.1923 00:00,13.9,-5.1,16.6,34,12124.0,79.0
01.07.1923 00:00,20.9,0.3,27.2,44,17962.0,110.0
01.08.1923 00:00,18.4,-1.5,39.9,67,18758.0,125.0
01.09.1923 00:00,13.4,-2.3,27.6,73,12567.0,101.0
01.10.1923 00:00,10.0,-0.7,93.7,219,7239.0,76.0
01.11.1923 00:00,3.9,-1.1,62.7,124,4393.0,77.0
01.12.1923 00:00,-1.1,-2.0,173.5,256,2437.0,59.0
01.01.1924 00:00,-1.8,-2.3,13.9,27,5090.0,91.0
01.02.1924 00:00,-1.2,-3.5,4.4,11,8180.0,104.0
01.03.1924 00:00,5.1,-2.1,23.2,63,11103.0,98.0
01.04.1924 00:00,9.2,-2.1,60.9,181,10493.0,83.0
01.05.1924 00:00,14.2,-1.1,64.0,123,12233.0,89.0
01.06.1924 00:00,16.6,-2.4,46.0,95,15252.0,100.0
01.07.1924 00:00,18.0,-2.6,33.8,55,15267.0,94.0
01.08.1924 00:00,14.5,-5.4,52.6,88,12081.0,81.0
01.09.1924 00:00,13.8,-1.9,50.5,134,12320.0,99.0
01.10.1924 00:00,8.5,-2.2,91.7,214,10308.0,108.0
01.11.1924 00:00,3.9,-1.1,14.4,29,8065.0,141.0
01.12.1924 00:00,-0.1,-1.0,8.8,13,6993.0,170.0
01.01.1925 00:00,0.8,0.3,7.2,14,7310.0,130.0
01.02.1925 00:00,2.6,0.3,32.6,81,7167.0,91.0
01.03.1925 00:00,2.7,-4.5,2.9,8,9458.0,84.0
01.04.1925 00:00,9.3,-2.0,43.5,129,8251.0,65.0
01.05.1925 00:00,13.5,-1.8,25.9,50,12357.0,90.0
01.06.1925 00:00,18.2,-0.8,13.2,27,18985.0,124.0
01.07.1925 00:00,17.8,-2.8,40.8,66,14425.0,89.0
01.08.1925 00:00,16.7,-3.2,67.4,113,15253.0,102.0
01.09.1925 00:00,11.6,-4.1,56.0,149,11912.0,96.0
01.10.1925 00:00,9.5,-1.2,10.0,23,11177.0,117.0
01.11.1925 00:00,1.4,-3.6,42.6,85,4352.0,76.0
01.12.1925 00:00,-2.3,-3.2,144.8,214,4198.0,102.0
01.01.1926 00:00,-0.4,-0.9,63.6,123,5091.0,91.0
01.02.1926 00:00,5.5,3.2,42.6,105,6102.0,78.0
01.03.1926 00:00,5.9,-1.3,47.2,128,9858.0,87.0
01.04.1926 00:00,9.9,-1.4,59.8,177,12379.0,98.0
01.05.1926 00:00,11.8,-3.5,104.2,200,10918.0,79.0
01.06.1926 00:00,14.3,-4.7,46.6,97,11220.0,74.0
01.07.1926 00:00,17.5,-3.1,40.5,65,13295.0,82.0
01.08.1926 00:00,17.6,-2.3,43.5,73,19203.0,128.0
01.09.1926 00:00,15.9,0.2,41.4,110,15372.0,123.0
01.10.1926 00:00,9.0,-1.7,92.4,216,7737.0,81.0
01.11.1926 00:00,6.2,1.2,47.8,95,5889.0,103.0
01.12.1926 00:00,-2.6,-3.5,15.4,23,6194.0,151.0
01.01.1927 00:00,-0.7,-1.2,23.8,46,4206.0,75.0
01.02.1927 00:00,0.3,-2.0,34.7,86,7831.0,100.0
01.03.1927 00:00,5.6,-1.6,59.4,161,7445.0,66.0
01.04.1927 00:00,9.5,-1.8,65.2,193,10677.0,85.0
