year-month,total precipitation (mm),mean temperature (°C)
1945-07,86.3,18.7
1945-08,228.8,16.3
1945-09,147.9,13.8
1945-10,70.1,9.2
1945-11,48.7,2.9
1945-12,109.6,1.7
1946-01,57.3,-1.4
1946-02,121.9,4.0
1946-03,39.9,6.1
1946-04,33.5,11.4
1946-05,59.6,14.5
1946-06,190.8,15.1
1946-07,137.5,18.1
1946-08,140.6,16.8
1946-09,57.0,14.1
1946-10,50.1,8.8
1946-11,39.8,3.6
1946-12,30.0,-0.1
1947-01,80.9,-2.3
1947-02,23.4,1.1
1947-03,102.3,6.6
1947-04,33.7,10.7
1947-05,54.3,14.9
1947-06,97.4,17.9
1947-07,98.3,19.4
1947-08,124.8,19.2
1947-09,50.6,16.0
1947-10,26.5,9.3
1947-11,225.4,6.1
1947-12,107.0,1.5
1948-01,109.7,4.4
1948-02,98.7,3.0
1948-03,38.2,7.2
1948-04,38.3,10.1
1948-05,34.5,14.6
1948-06,152.7,15.3
1948-07,211.3,14.7
1948-08,88.4,17.0
1948-09,117.6,13.6
1948-10,37.9,9.6
1948-11,21.0,4.3
1948-12,37.1,1.1
1949-01,106.7,0.7
1949-02,23.8,0.8
1949-03,55.0,3.2
1949-04,96.5,11.2
1949-05,81.9,11.6
1949-06,84.7,16.3
1949-07,74.6,19.1
1949-08,106.5,17.5
1949-09,86.1,16.6
1949-10,34.3,11.0
1949-11,74.4,4.8
1949-12,65.0,2.8
1950-01,112.7,0.3
1950-02,100.0,3.7
1950-03,30.6,5.6
1950-04,111.0,7.4
1950-05,80.6,14.6
1950-06,98.4,18.2
1950-07,129.5,19.8
1950-08,123.9,17.5
1950-09,115.4,13.5
1950-10,13.8,8.8
1950-11,220.9,5.3
1950-12,26.6,0.0
1951-01,120.8,2.0
1951-02,168.6,3.7
1951-03,107.1,4.1
1951-04,77.4,8.6
1951-05,111.9,12.4
1951-06,117.6,15.6
1951-07,102.4,17.6
1951-08,148.9,16.9
1951-09,52.7,14.6
1951-10,47.0,8.7
1951-11,144.4,7.8
1951-12,41.3,0.9
1952-01,76.5,-0.3
1952-02,118.9,-0.8
1952-03,108.8,5.6
1952-04,40.4,10.7
1952-05,52.6,14.2
1952-06,92.3,17.2
1952-07,134.0,19.8
1952-08,94.4,18.2
1952-09,93.8,11.6
1952-10,121.0,8.6
1952-11,195.1,3.4
1952-12,111.0,0.9
1953-01,45.3,-2.0
1953-02,23.3,-0.6
1953-03,12.9,5.1
1953-04,93.4,9.9
1953-05,100.3,13.9
1953-06,185.6,14.8
1953-07,132.4,17.9
1953-08,78.1,16.7
1953-09,71.8,15.2
1953-10,89.2,10.8
1953-11,23.9,3.8
1953-12,36.5,3.3
1954-01,128.9,-1.5
1954-02,56.6,0.1
1954-03,19.8,6.6
1954-04,105.3,6.4
1954-05,96.4,11.5
1954-06,116.2,15.9
1954-07,172.8,15.2
1954-08,191.1,15.6
1954-09,128.5,14.0
1954-10,79.9,8.9
1954-11,42.2,5.9
1954-12,214.1,2.6
1955-01,111.5,2.0
1955-02,116.4,1.8
1955-03,40.9,3.4
1955-04,66.2,8.4
1955-05,109.4,11.6
1955-06,136.0,15.7
1955-07,163.4,16.8
1955-08,141.1,15.8
1955-09,88.4,12.9
1955-10,64.9,8.0
1955-11,18.0,3.1
1955-12,76.5,3.5
1956-01,70.3,2.4
1956-02,15.9,-6.9
1956-03,143.6,5.7
1956-04,91.0,7.0
1956-05,98.0,12.7
1956-06,150.3,13.1
1956-07,147.7,17.0
1956-08,175.8,15.3
1956-09,104.5,14.8
1956-10,102.1,6.9
1956-11,41.4,2.7
1956-12,17.4,0.2
1957-01,30.0,-0.5
1957-02,121.3,5.2
1957-03,47.8,7.8
1957-04,52.8,8.4
1957-05,108.1,9.6
1957-06,134.1,16.1
1957-07,159.6,16.8
1957-08,132.0,15.7
1957-09,109.7,12.7
1957-10,22.3,8.0
1957-11,46.6,5.5
1957-12,60.7,2.0
1958-01,57.5,0.5
1958-02,149.8,3.8
1958-03,67.8,1.5
1958-04,116.5,6.0
1958-05,76.5,14.6
1958-06,121.1,15.1
1958-07,134.3,17.4
1958-08,144.4,17.3
1958-09,68.6,15.1
1958-10,211.6,8.1
1958-11,71.4,3.8
1958-12,69.2,3.4
1959-01,87.5,0.8
1959-02,20.3,1.1
1959-03,51.8,8.6
1959-04,88.4,9.9
1959-05,55.1,13.9
1959-06,141.9,16.2
1959-07,129.8,19.0
1959-08,71.5,16.6
1959-09,35.1,15.0
1959-10,113.5,8.9
1959-11,57.5,3.4
1959-12,82.2,3.6
1960-01,52.7,0.6
1960-02,46.1,3.0
1960-03,63.2,7.9
1960-04,60.3,8.4
1960-05,71.2,14.1
1960-06,198.3,16.9
1960-07,153.6,15.5
1960-08,156.3,16.7
1960-09,165.6,12.5
1960-10,105.5,10.4
1960-11,102.1,6.7
